role;championId;win;allies;enemies
BOTTOM;21;1;157,238,45,412;98,35,127,18,115
SUPPORT;412;1;157,238,45,21;98,35,127,18,115
TOP;98;0;35,127,18,115;157,238,45,21,412
JUNGLE;35;0;98,127,18,115;157,238,45,21,412
MIDDLE;127;0;98,35,18,115;157,238,45,21,412
BOTTOM;18;0;98,35,127,115;157,238,45,21,412
SUPPORT;115;0;98,35,127,18;157,238,45,21,412
TOP;114;1;102,131,21,526;799,517,112,901,902
JUNGLE;102;1;114,131,21,526;799,517,112,901,902
MIDDLE;131;1;114,102,21,526;799,517,112,901,902
BOTTOM;21;1;114,102,131,526;799,517,112,901,902
SUPPORT;526;1;114,102,131,21;799,517,112,901,902
TOP;799;0;517,112,901,902;114,102,131,21,526
JUNGLE;517;0;799,112,901,902;114,102,131,21,526
MIDDLE;112;0;799,517,901,902;114,102,131,21,526
BOTTOM;901;0;799,517,112,902;114,102,131,21,526
SUPPORT;902;0;799,517,112,901;114,102,131,21,526
TOP;122;0;233,157,221,117;86,120,75,901,74
JUNGLE;233;0;122,157,221,117;86,120,75,901,74
MIDDLE;157;0;122,233,221,117;86,120,75,901,74
BOTTOM;221;0;122,233,157,117;86,120,75,901,74
SUPPORT;117;0;122,233,157,221;86,120,75,901,74
TOP;86;1;120,75,901,74;122,233,157,221,117
JUNGLE;120;1;86,75,901,74;122,233,157,221,117
MIDDLE;75;1;86,120,901,74;122,233,157,221,117
BOTTOM;901;1;86,120,75,74;122,233,157,221,117
SUPPORT;74;1;86,120,75,901;122,233,157,221,117
TOP;10;1;121,103,81,57;516,799,84,222,235
JUNGLE;121;1;10,103,81,57;516,799,84,222,235
MIDDLE;103;1;10,121,81,57;516,799,84,222,235
BOTTOM;81;1;10,121,103,57;516,799,84,222,235
SUPPORT;57;1;10,121,103,81;516,799,84,222,235
TOP;516;0;799,84,222,235;10,121,103,81,57
JUNGLE;799;0;516,84,222,235;10,121,103,81,57
MIDDLE;84;0;516,799,222,235;10,121,103,81,57
BOTTOM;222;0;516,799,84,235;10,121,103,81,57
SUPPORT;235;0;516,799,84,222;10,121,103,81,57
TOP;54;1;107,910,119,412;14,121,163,29,432
