League,GameId,MatchId,WinTeam,LossTeam,BestOf,SeriesScore,Gamelength,Team1Gold,Team2Gold,Team1Kills,Team2Kills
LPL,LPL/2025 Season/Split 1 Playoffs_Round 1_1_3,LPL/2025 Season/Split 1 Playoffs_Round 1_1,Bilibili Gaming,Weibo Gaming,5.0,3-1,33:19,66441,56643,23,9
LPL,LPL/2025 Season/Split 1 Playoffs_Round 1_1_4,LPL/2025 Season/Split 1 Playoffs_Round 1_1,Bilibili Gaming,Weibo Gaming,5.0,3-1,41:43,73324,78883,15,20
LPL,LPL/2025 Season/Split 1 Playoffs_Round 1_2_1,LPL/2025 Season/Split 1 Playoffs_Round 1_2,Top Esports,Invictus Gaming,5.0,3-1,41:30,69928,81736,10,24
LPL,LPL/2025 Season/Split 1 Playoffs_Round 1_2_2,LPL/2025 Season/Split 1 Playoffs_Round 1_2,Top Esports,Invictus Gaming,5.0,3-1,48:24,86057,84296,19,24
LPL,LPL/2025 Season/Split 1 Playoffs_Round 1_2_3,LPL/2025 Season/Split 1 Playoffs_Round 1_2,Invictus Gaming,Top Esports,5.0,3-1,25:36,52989,42066,33,7
LPL,LPL/2025 Season/Split 1 Playoffs_Round 1_2_4,LPL/2025 Season/Split 1 Playoffs_Round 1_2,Top Esports,Invictus Gaming,5.0,3-1,30:01,58122,45640,16,5
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_1_1,LPL/2025 Season/Split 1 Playoffs_Round 2_1,JD Gaming,ThunderTalk Gaming,5.0,1-3,29:25,57851,46368,11,3
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_1_2,LPL/2025 Season/Split 1 Playoffs_Round 2_1,ThunderTalk Gaming,JD Gaming,5.0,1-3,30:06,60854,53842,20,7
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_1_3,LPL/2025 Season/Split 1 Playoffs_Round 2_1,JD Gaming,ThunderTalk Gaming,5.0,1-3,34:10,68758,59245,18,14
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_1_4,LPL/2025 Season/Split 1 Playoffs_Round 2_1,JD Gaming,ThunderTalk Gaming,5.0,1-3,28:14,43408,55777,7,16
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_2_1,LPL/2025 Season/Split 1 Playoffs_Round 2_2,Ninjas in Pyjamas.CN,Anyone's Legend,5.0,2-3,26:11,53284,43480,17,3
